epoch: 1, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 6.68 - valid loss: 3.90, valid ctc_loss: 3.90, valid PER: 1.00e+02, valid mpd_f1: 2.00e-01
epoch: 2, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 3.58 - valid loss: 3.87, valid ctc_loss: 3.87, valid PER: 1.00e+02, valid mpd_f1: 2.00e-01
epoch: 3, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 3.42 - valid loss: 3.56, valid ctc_loss: 3.56, valid PER: 99.30, valid mpd_f1: 2.00e-01
epoch: 4, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 3.37 - valid loss: 3.40, valid ctc_loss: 3.40, valid PER: 95.49, valid mpd_f1: 2.00e-01
epoch: 5, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 3.23 - valid loss: 3.07, valid ctc_loss: 3.07, valid PER: 94.45, valid mpd_f1: 2.00e-01
epoch: 6, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 2.75 - valid loss: 2.29, valid ctc_loss: 2.29, valid PER: 84.89, valid mpd_f1: 2.11e-01
epoch: 7, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 1.98 - valid loss: 1.43, valid ctc_loss: 1.43, valid PER: 49.17, valid mpd_f1: 3.00e-01
epoch: 8, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 1.46 - valid loss: 1.06, valid ctc_loss: 1.05, valid PER: 32.30, valid mpd_f1: 3.62e-01
epoch: 9, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 1.19 - valid loss: 9.14e-01, valid ctc_loss: 9.13e-01, valid PER: 28.83, valid mpd_f1: 3.77e-01
epoch: 10, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 1.05 - valid loss: 8.40e-01, valid ctc_loss: 8.38e-01, valid PER: 25.84, valid mpd_f1: 3.99e-01
epoch: 11, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 9.89e-01 - valid loss: 7.73e-01, valid ctc_loss: 7.72e-01, valid PER: 24.52, valid mpd_f1: 4.16e-01
epoch: 12, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 9.24e-01 - valid loss: 7.37e-01, valid ctc_loss: 7.36e-01, valid PER: 22.43, valid mpd_f1: 4.31e-01
epoch: 13, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 8.62e-01 - valid loss: 7.16e-01, valid ctc_loss: 7.15e-01, valid PER: 21.75, valid mpd_f1: 4.31e-01
epoch: 14, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 8.46e-01 - valid loss: 6.95e-01, valid ctc_loss: 6.94e-01, valid PER: 21.25, valid mpd_f1: 4.32e-01
epoch: 15, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 8.01e-01 - valid loss: 6.63e-01, valid ctc_loss: 6.62e-01, valid PER: 19.92, valid mpd_f1: 4.26e-01
epoch: 16, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 7.51e-01 - valid loss: 6.55e-01, valid ctc_loss: 6.54e-01, valid PER: 19.75, valid mpd_f1: 4.34e-01
epoch: 17, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 7.29e-01 - valid loss: 6.45e-01, valid ctc_loss: 6.44e-01, valid PER: 19.53, valid mpd_f1: 4.47e-01
epoch: 18, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 7.16e-01 - valid loss: 6.30e-01, valid ctc_loss: 6.28e-01, valid PER: 18.73, valid mpd_f1: 4.46e-01
epoch: 19, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 6.83e-01 - valid loss: 6.19e-01, valid ctc_loss: 6.18e-01, valid PER: 19.01, valid mpd_f1: 4.54e-01
epoch: 20, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 6.68e-01 - valid loss: 6.09e-01, valid ctc_loss: 6.07e-01, valid PER: 17.96, valid mpd_f1: 4.74e-01
epoch: 21, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 6.38e-01 - valid loss: 6.10e-01, valid ctc_loss: 6.08e-01, valid PER: 18.25, valid mpd_f1: 4.37e-01
epoch: 22, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 6.30e-01 - valid loss: 5.99e-01, valid ctc_loss: 5.97e-01, valid PER: 17.76, valid mpd_f1: 4.72e-01
epoch: 23, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 5.86e-01 - valid loss: 5.87e-01, valid ctc_loss: 5.85e-01, valid PER: 17.19, valid mpd_f1: 4.55e-01
epoch: 24, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 5.82e-01 - valid loss: 5.87e-01, valid ctc_loss: 5.86e-01, valid PER: 17.13, valid mpd_f1: 4.62e-01
epoch: 25, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 5.68e-01 - valid loss: 5.82e-01, valid ctc_loss: 5.80e-01, valid PER: 16.94, valid mpd_f1: 4.81e-01
epoch: 26, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 5.53e-01 - valid loss: 5.99e-01, valid ctc_loss: 5.97e-01, valid PER: 17.52, valid mpd_f1: 4.28e-01
epoch: 27, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 5.47e-01 - valid loss: 5.83e-01, valid ctc_loss: 5.81e-01, valid PER: 16.82, valid mpd_f1: 4.74e-01
epoch: 28, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 5.23e-01 - valid loss: 5.89e-01, valid ctc_loss: 5.87e-01, valid PER: 16.80, valid mpd_f1: 4.78e-01
epoch: 29, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 5.19e-01 - valid loss: 5.90e-01, valid ctc_loss: 5.88e-01, valid PER: 17.31, valid mpd_f1: 4.61e-01
epoch: 30, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 4.90e-01 - valid loss: 5.95e-01, valid ctc_loss: 5.93e-01, valid PER: 16.91, valid mpd_f1: 4.66e-01
epoch: 31, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 4.96e-01 - valid loss: 5.94e-01, valid ctc_loss: 5.92e-01, valid PER: 16.99, valid mpd_f1: 4.49e-01
epoch: 32, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 4.79e-01 - valid loss: 5.93e-01, valid ctc_loss: 5.91e-01, valid PER: 17.18, valid mpd_f1: 4.58e-01
epoch: 33, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 4.60e-01 - valid loss: 6.01e-01, valid ctc_loss: 5.99e-01, valid PER: 16.69, valid mpd_f1: 4.63e-01
epoch: 34, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 4.62e-01 - valid loss: 6.10e-01, valid ctc_loss: 6.09e-01, valid PER: 16.90, valid mpd_f1: 4.37e-01
epoch: 35, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 4.47e-01 - valid loss: 5.99e-01, valid ctc_loss: 5.97e-01, valid PER: 16.73, valid mpd_f1: 4.71e-01
epoch: 36, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 4.25e-01 - valid loss: 6.04e-01, valid ctc_loss: 6.02e-01, valid PER: 16.95, valid mpd_f1: 4.45e-01
epoch: 37, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 4.21e-01 - valid loss: 6.04e-01, valid ctc_loss: 6.02e-01, valid PER: 16.46, valid mpd_f1: 4.65e-01
epoch: 38, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 4.25e-01 - valid loss: 6.12e-01, valid ctc_loss: 6.10e-01, valid PER: 16.44, valid mpd_f1: 4.63e-01
epoch: 39, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 4.04e-01 - valid loss: 6.05e-01, valid ctc_loss: 6.03e-01, valid PER: 16.03, valid mpd_f1: 4.88e-01
epoch: 40, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 3.91e-01 - valid loss: 6.15e-01, valid ctc_loss: 6.13e-01, valid PER: 16.16, valid mpd_f1: 4.71e-01
epoch: 41, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 3.93e-01 - valid loss: 6.25e-01, valid ctc_loss: 6.23e-01, valid PER: 16.33, valid mpd_f1: 4.41e-01
epoch: 42, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 3.65e-01 - valid loss: 6.25e-01, valid ctc_loss: 6.23e-01, valid PER: 16.20, valid mpd_f1: 4.59e-01
epoch: 43, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 3.67e-01 - valid loss: 6.21e-01, valid ctc_loss: 6.19e-01, valid PER: 16.03, valid mpd_f1: 4.51e-01
epoch: 44, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 3.52e-01 - valid loss: 6.39e-01, valid ctc_loss: 6.38e-01, valid PER: 15.70, valid mpd_f1: 4.59e-01
epoch: 45, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 3.50e-01 - valid loss: 6.53e-01, valid ctc_loss: 6.51e-01, valid PER: 15.93, valid mpd_f1: 4.71e-01
epoch: 46, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 3.54e-01 - valid loss: 6.51e-01, valid ctc_loss: 6.49e-01, valid PER: 15.63, valid mpd_f1: 4.51e-01
epoch: 47, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 3.41e-01 - valid loss: 6.51e-01, valid ctc_loss: 6.49e-01, valid PER: 16.00, valid mpd_f1: 4.55e-01
epoch: 48, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 3.37e-01 - valid loss: 6.68e-01, valid ctc_loss: 6.66e-01, valid PER: 15.98, valid mpd_f1: 4.46e-01
epoch: 49, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 3.24e-01 - valid loss: 6.82e-01, valid ctc_loss: 6.81e-01, valid PER: 16.08, valid mpd_f1: 4.31e-01
epoch: 50, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 3.26e-01 - valid loss: 6.93e-01, valid ctc_loss: 6.91e-01, valid PER: 16.19, valid mpd_f1: 4.21e-01
epoch: 51, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 3.20e-01 - valid loss: 7.17e-01, valid ctc_loss: 7.15e-01, valid PER: 16.15, valid mpd_f1: 4.23e-01
epoch: 52, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 3.17e-01 - valid loss: 7.18e-01, valid ctc_loss: 7.16e-01, valid PER: 16.10, valid mpd_f1: 4.26e-01
epoch: 53, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 3.11e-01 - valid loss: 7.28e-01, valid ctc_loss: 7.26e-01, valid PER: 16.42, valid mpd_f1: 4.23e-01
epoch: 54, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 3.03e-01 - valid loss: 7.25e-01, valid ctc_loss: 7.23e-01, valid PER: 15.63, valid mpd_f1: 4.43e-01
epoch: 55, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 2.84e-01 - valid loss: 7.34e-01, valid ctc_loss: 7.32e-01, valid PER: 16.07, valid mpd_f1: 4.35e-01
epoch: 56, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 2.78e-01 - valid loss: 7.36e-01, valid ctc_loss: 7.33e-01, valid PER: 16.35, valid mpd_f1: 4.33e-01
epoch: 57, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 2.86e-01 - valid loss: 7.48e-01, valid ctc_loss: 7.46e-01, valid PER: 15.85, valid mpd_f1: 4.46e-01
epoch: 58, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 2.80e-01 - valid loss: 7.39e-01, valid ctc_loss: 7.37e-01, valid PER: 15.55, valid mpd_f1: 4.53e-01
epoch: 59, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 2.71e-01 - valid loss: 7.49e-01, valid ctc_loss: 7.48e-01, valid PER: 15.66, valid mpd_f1: 4.40e-01
epoch: 60, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 2.60e-01 - valid loss: 7.57e-01, valid ctc_loss: 7.55e-01, valid PER: 15.89, valid mpd_f1: 4.38e-01
epoch: 61, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 2.52e-01 - valid loss: 7.71e-01, valid ctc_loss: 7.70e-01, valid PER: 16.15, valid mpd_f1: 4.45e-01
epoch: 62, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 2.48e-01 - valid loss: 7.76e-01, valid ctc_loss: 7.74e-01, valid PER: 16.02, valid mpd_f1: 4.30e-01
epoch: 63, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 2.33e-01 - valid loss: 7.91e-01, valid ctc_loss: 7.89e-01, valid PER: 15.94, valid mpd_f1: 4.31e-01
epoch: 64, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 2.16e-01 - valid loss: 8.17e-01, valid ctc_loss: 8.15e-01, valid PER: 16.16, valid mpd_f1: 4.22e-01
epoch: 65, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 2.33e-01 - valid loss: 7.77e-01, valid ctc_loss: 7.76e-01, valid PER: 15.54, valid mpd_f1: 4.40e-01
epoch: 66, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 2.18e-01 - valid loss: 8.00e-01, valid ctc_loss: 7.97e-01, valid PER: 15.62, valid mpd_f1: 4.40e-01
epoch: 67, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 2.20e-01 - valid loss: 8.26e-01, valid ctc_loss: 8.23e-01, valid PER: 16.14, valid mpd_f1: 4.27e-01
epoch: 68, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 2.27e-01 - valid loss: 8.20e-01, valid ctc_loss: 8.18e-01, valid PER: 16.01, valid mpd_f1: 4.33e-01
epoch: 69, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 2.00e-01 - valid loss: 8.26e-01, valid ctc_loss: 8.25e-01, valid PER: 16.05, valid mpd_f1: 4.40e-01
epoch: 70, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 2.02e-01 - valid loss: 8.50e-01, valid ctc_loss: 8.48e-01, valid PER: 15.82, valid mpd_f1: 4.38e-01
epoch: 71, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 2.06e-01 - valid loss: 8.41e-01, valid ctc_loss: 8.39e-01, valid PER: 16.02, valid mpd_f1: 4.35e-01
epoch: 72, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 1.94e-01 - valid loss: 8.56e-01, valid ctc_loss: 8.54e-01, valid PER: 16.03, valid mpd_f1: 4.37e-01
epoch: 73, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 2.03e-01 - valid loss: 8.88e-01, valid ctc_loss: 8.85e-01, valid PER: 15.92, valid mpd_f1: 4.17e-01
epoch: 74, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 1.93e-01 - valid loss: 8.97e-01, valid ctc_loss: 8.95e-01, valid PER: 16.16, valid mpd_f1: 4.40e-01
epoch: 75, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 1.92e-01 - valid loss: 9.04e-01, valid ctc_loss: 9.01e-01, valid PER: 16.04, valid mpd_f1: 4.25e-01
epoch: 76, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 1.83e-01 - valid loss: 9.12e-01, valid ctc_loss: 9.10e-01, valid PER: 15.94, valid mpd_f1: 4.24e-01
epoch: 77, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 1.92e-01 - valid loss: 9.28e-01, valid ctc_loss: 9.26e-01, valid PER: 15.94, valid mpd_f1: 4.26e-01
epoch: 78, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 1.75e-01 - valid loss: 9.24e-01, valid ctc_loss: 9.22e-01, valid PER: 15.95, valid mpd_f1: 4.40e-01
epoch: 79, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 1.77e-01 - valid loss: 9.15e-01, valid ctc_loss: 9.12e-01, valid PER: 15.89, valid mpd_f1: 4.49e-01
epoch: 80, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 1.72e-01 - valid loss: 9.14e-01, valid ctc_loss: 9.12e-01, valid PER: 15.59, valid mpd_f1: 4.36e-01
epoch: 81, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 1.68e-01 - valid loss: 9.50e-01, valid ctc_loss: 9.47e-01, valid PER: 15.89, valid mpd_f1: 4.32e-01
epoch: 82, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 1.77e-01 - valid loss: 9.44e-01, valid ctc_loss: 9.42e-01, valid PER: 15.79, valid mpd_f1: 4.28e-01
epoch: 83, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 1.61e-01 - valid loss: 9.55e-01, valid ctc_loss: 9.53e-01, valid PER: 16.20, valid mpd_f1: 4.26e-01
epoch: 84, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 1.76e-01 - valid loss: 9.37e-01, valid ctc_loss: 9.35e-01, valid PER: 15.94, valid mpd_f1: 4.44e-01
epoch: 85, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 1.64e-01 - valid loss: 9.49e-01, valid ctc_loss: 9.48e-01, valid PER: 15.71, valid mpd_f1: 4.44e-01
epoch: 86, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 1.50e-01 - valid loss: 9.46e-01, valid ctc_loss: 9.44e-01, valid PER: 15.39, valid mpd_f1: 4.43e-01
