epoch: 1, lr_model: 3.00e-04, lr_wav2vec2: 1.00e-05 - train loss: 5.55 - valid loss: 3.64, valid ctc_loss: 3.64, valid PER: 1.00e+02, valid mpd_f1: 2.00e-01
epoch: 2, lr_model: 3.00e-04, lr_wav2vec2: 1.00e-05 - train loss: 3.33 - valid loss: 3.08, valid ctc_loss: 3.08, valid PER: 96.58, valid mpd_f1: 2.00e-01
epoch: 3, lr_model: 3.00e-04, lr_wav2vec2: 1.00e-05 - train loss: 2.64 - valid loss: 1.83, valid ctc_loss: 1.83, valid PER: 81.26, valid mpd_f1: 2.16e-01
epoch: 4, lr_model: 3.00e-04, lr_wav2vec2: 1.00e-05 - train loss: 1.69 - valid loss: 1.10, valid ctc_loss: 1.10, valid PER: 45.60, valid mpd_f1: 3.18e-01
epoch: 5, lr_model: 3.00e-04, lr_wav2vec2: 1.00e-05 - train loss: 1.33 - valid loss: 9.05e-01, valid ctc_loss: 9.05e-01, valid PER: 35.35, valid mpd_f1: 3.61e-01
epoch: 6, lr_model: 3.00e-04, lr_wav2vec2: 1.00e-05 - train loss: 1.20 - valid loss: 8.36e-01, valid ctc_loss: 8.36e-01, valid PER: 34.00, valid mpd_f1: 3.64e-01
epoch: 7, lr_model: 3.00e-04, lr_wav2vec2: 1.00e-05 - train loss: 1.10 - valid loss: 7.70e-01, valid ctc_loss: 7.70e-01, valid PER: 28.44, valid mpd_f1: 3.87e-01
epoch: 8, lr_model: 3.00e-04, lr_wav2vec2: 1.00e-05 - train loss: 1.05 - valid loss: 7.45e-01, valid ctc_loss: 7.45e-01, valid PER: 26.82, valid mpd_f1: 3.96e-01
epoch: 9, lr_model: 3.00e-04, lr_wav2vec2: 1.00e-05 - train loss: 9.67e-01 - valid loss: 7.01e-01, valid ctc_loss: 7.01e-01, valid PER: 23.72, valid mpd_f1: 4.27e-01
epoch: 10, lr_model: 3.00e-04, lr_wav2vec2: 1.00e-05 - train loss: 9.60e-01 - valid loss: 6.86e-01, valid ctc_loss: 6.86e-01, valid PER: 23.03, valid mpd_f1: 4.24e-01
epoch: 11, lr_model: 3.00e-04, lr_wav2vec2: 1.00e-05 - train loss: 8.77e-01 - valid loss: 6.64e-01, valid ctc_loss: 6.64e-01, valid PER: 21.32, valid mpd_f1: 4.24e-01
