epoch: 1, lr_model: 3.00e-04, lr_wav2vec2: 1.00e-05 - train loss: 6.41 - valid loss: 3.54, valid ctc_loss: 3.54, valid PER: 1.00e+02, valid mpd_f1: 2.00e-01
epoch: 2, lr_model: 3.00e-04, lr_wav2vec2: 1.00e-05 - train loss: 3.60 - valid loss: 3.44, valid ctc_loss: 3.44, valid PER: 1.00e+02, valid mpd_f1: 2.00e-01
epoch: 3, lr_model: 3.00e-04, lr_wav2vec2: 1.00e-05 - train loss: 3.45 - valid loss: 3.45, valid ctc_loss: 3.45, valid PER: 1.00e+02, valid mpd_f1: 2.00e-01
epoch: 4, lr_model: 3.00e-04, lr_wav2vec2: 1.00e-05 - train loss: 3.40 - valid loss: 3.31, valid ctc_loss: 3.31, valid PER: 1.00e+02, valid mpd_f1: 2.00e-01
epoch: 5, lr_model: 3.00e-04, lr_wav2vec2: 1.00e-05 - train loss: 3.27 - valid loss: 3.14, valid ctc_loss: 3.15, valid PER: 1.00e+02, valid mpd_f1: 2.00e-01
epoch: 6, lr_model: 3.00e-04, lr_wav2vec2: 1.00e-05 - train loss: 3.06 - valid loss: 2.62, valid ctc_loss: 2.62, valid PER: 91.36, valid mpd_f1: 2.05e-01
epoch: 7, lr_model: 3.00e-04, lr_wav2vec2: 1.00e-05 - train loss: 2.46 - valid loss: 1.64, valid ctc_loss: 1.64, valid PER: 50.91, valid mpd_f1: 2.78e-01
epoch: 8, lr_model: 3.00e-04, lr_wav2vec2: 1.00e-05 - train loss: 1.65 - valid loss: 1.03, valid ctc_loss: 1.03, valid PER: 33.66, valid mpd_f1: 3.34e-01
epoch: 9, lr_model: 3.00e-04, lr_wav2vec2: 1.00e-05 - train loss: 1.22 - valid loss: 8.09e-01, valid ctc_loss: 8.08e-01, valid PER: 27.15, valid mpd_f1: 3.72e-01
epoch: 10, lr_model: 3.00e-04, lr_wav2vec2: 1.00e-05 - train loss: 1.07 - valid loss: 7.24e-01, valid ctc_loss: 7.23e-01, valid PER: 24.33, valid mpd_f1: 3.61e-01
epoch: 11, lr_model: 3.00e-04, lr_wav2vec2: 1.00e-05 - train loss: 9.89e-01 - valid loss: 6.65e-01, valid ctc_loss: 6.64e-01, valid PER: 22.88, valid mpd_f1: 3.61e-01
epoch: 12, lr_model: 3.00e-04, lr_wav2vec2: 1.00e-05 - train loss: 9.83e-01 - valid loss: 6.36e-01, valid ctc_loss: 6.35e-01, valid PER: 22.44, valid mpd_f1: 3.72e-01
