epoch: 1, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 7.37 - valid loss: 4.00, valid ctc_loss: 4.00, valid PER: 1.00e+02, valid mpd_f1: 2.00e-01
epoch: 2, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 3.74 - valid loss: 3.52, valid ctc_loss: 3.52, valid PER: 1.00e+02, valid mpd_f1: 2.00e-01
epoch: 3, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 3.50 - valid loss: 3.45, valid ctc_loss: 3.45, valid PER: 1.00e+02, valid mpd_f1: 2.00e-01
epoch: 4, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 3.44 - valid loss: 3.36, valid ctc_loss: 3.37, valid PER: 1.00e+02, valid mpd_f1: 2.00e-01
epoch: 5, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 3.39 - valid loss: 3.09, valid ctc_loss: 3.09, valid PER: 99.25, valid mpd_f1: 2.01e-01
epoch: 6, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 3.06 - valid loss: 2.46, valid ctc_loss: 2.46, valid PER: 76.38, valid mpd_f1: 2.23e-01
epoch: 7, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 2.61 - valid loss: 1.73, valid ctc_loss: 1.73, valid PER: 50.68, valid mpd_f1: 2.74e-01
epoch: 8, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 2.16 - valid loss: 1.35, valid ctc_loss: 1.35, valid PER: 45.11, valid mpd_f1: 2.76e-01
epoch: 9, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 1.73 - valid loss: 1.16, valid ctc_loss: 1.16, valid PER: 40.73, valid mpd_f1: 2.89e-01
epoch: 10, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 1.59 - valid loss: 1.04, valid ctc_loss: 1.04, valid PER: 36.92, valid mpd_f1: 3.23e-01
epoch: 11, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 1.50 - valid loss: 9.54e-01, valid ctc_loss: 9.53e-01, valid PER: 34.51, valid mpd_f1: 3.34e-01
