epoch: 1, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 7.38 - valid loss: 4.05, valid ctc_loss: 4.05, valid PER: 1.00e+02, valid mpd_f1: 2.00e-01
epoch: 2, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 3.77 - valid loss: 3.53, valid ctc_loss: 3.53, valid PER: 1.00e+02, valid mpd_f1: 2.00e-01
epoch: 3, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 3.51 - valid loss: 3.45, valid ctc_loss: 3.45, valid PER: 1.00e+02, valid mpd_f1: 2.00e-01
epoch: 4, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 3.44 - valid loss: 3.37, valid ctc_loss: 3.37, valid PER: 1.00e+02, valid mpd_f1: 2.00e-01
epoch: 5, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 3.40 - valid loss: 3.09, valid ctc_loss: 3.09, valid PER: 98.56, valid mpd_f1: 2.01e-01
epoch: 6, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 3.05 - valid loss: 2.44, valid ctc_loss: 2.44, valid PER: 75.65, valid mpd_f1: 2.25e-01
epoch: 7, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 2.59 - valid loss: 1.70, valid ctc_loss: 1.70, valid PER: 50.11, valid mpd_f1: 2.68e-01
epoch: 8, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 2.17 - valid loss: 1.35, valid ctc_loss: 1.35, valid PER: 44.89, valid mpd_f1: 2.73e-01
epoch: 9, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 1.73 - valid loss: 1.15, valid ctc_loss: 1.15, valid PER: 40.70, valid mpd_f1: 3.01e-01
epoch: 10, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 1.58 - valid loss: 1.02, valid ctc_loss: 1.02, valid PER: 36.71, valid mpd_f1: 3.22e-01
epoch: 11, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 1.47 - valid loss: 9.42e-01, valid ctc_loss: 9.41e-01, valid PER: 33.94, valid mpd_f1: 3.39e-01
epoch: 12, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 1.40 - valid loss: 8.75e-01, valid ctc_loss: 8.74e-01, valid PER: 31.65, valid mpd_f1: 3.51e-01
epoch: 13, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 1.33 - valid loss: 8.45e-01, valid ctc_loss: 8.44e-01, valid PER: 31.24, valid mpd_f1: 3.36e-01
epoch: 14, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 1.28 - valid loss: 7.99e-01, valid ctc_loss: 7.98e-01, valid PER: 29.52, valid mpd_f1: 3.56e-01
epoch: 15, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 1.24 - valid loss: 7.73e-01, valid ctc_loss: 7.71e-01, valid PER: 29.09, valid mpd_f1: 3.58e-01
epoch: 16, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 1.18 - valid loss: 7.51e-01, valid ctc_loss: 7.50e-01, valid PER: 28.52, valid mpd_f1: 3.61e-01
epoch: 17, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 1.16 - valid loss: 7.40e-01, valid ctc_loss: 7.39e-01, valid PER: 28.15, valid mpd_f1: 3.63e-01
epoch: 18, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 1.14 - valid loss: 7.14e-01, valid ctc_loss: 7.13e-01, valid PER: 27.80, valid mpd_f1: 3.63e-01
epoch: 19, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 1.09 - valid loss: 6.97e-01, valid ctc_loss: 6.95e-01, valid PER: 27.02, valid mpd_f1: 3.79e-01
epoch: 20, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 1.10 - valid loss: 6.91e-01, valid ctc_loss: 6.90e-01, valid PER: 26.97, valid mpd_f1: 3.78e-01
epoch: 21, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 1.11 - valid loss: 6.82e-01, valid ctc_loss: 6.81e-01, valid PER: 26.48, valid mpd_f1: 3.72e-01
epoch: 22, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 1.06 - valid loss: 6.68e-01, valid ctc_loss: 6.66e-01, valid PER: 25.96, valid mpd_f1: 3.78e-01
epoch: 23, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 1.06 - valid loss: 6.57e-01, valid ctc_loss: 6.56e-01, valid PER: 25.98, valid mpd_f1: 3.83e-01
epoch: 24, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 1.02 - valid loss: 6.48e-01, valid ctc_loss: 6.47e-01, valid PER: 25.79, valid mpd_f1: 3.80e-01
epoch: 25, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 1.02 - valid loss: 6.38e-01, valid ctc_loss: 6.36e-01, valid PER: 25.52, valid mpd_f1: 3.84e-01
epoch: 26, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 1.04 - valid loss: 6.32e-01, valid ctc_loss: 6.30e-01, valid PER: 25.21, valid mpd_f1: 3.88e-01
epoch: 27, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 9.44e-01 - valid loss: 6.25e-01, valid ctc_loss: 6.24e-01, valid PER: 25.05, valid mpd_f1: 3.74e-01
epoch: 28, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 9.69e-01 - valid loss: 6.23e-01, valid ctc_loss: 6.21e-01, valid PER: 24.76, valid mpd_f1: 4.02e-01
epoch: 29, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 9.98e-01 - valid loss: 6.17e-01, valid ctc_loss: 6.16e-01, valid PER: 24.25, valid mpd_f1: 3.80e-01
epoch: 30, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 9.60e-01 - valid loss: 6.14e-01, valid ctc_loss: 6.13e-01, valid PER: 24.85, valid mpd_f1: 3.92e-01
epoch: 31, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 9.54e-01 - valid loss: 6.09e-01, valid ctc_loss: 6.08e-01, valid PER: 24.59, valid mpd_f1: 3.96e-01
epoch: 32, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 9.45e-01 - valid loss: 6.04e-01, valid ctc_loss: 6.03e-01, valid PER: 23.75, valid mpd_f1: 3.87e-01
epoch: 33, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 9.36e-01 - valid loss: 6.03e-01, valid ctc_loss: 6.02e-01, valid PER: 24.25, valid mpd_f1: 3.85e-01
epoch: 34, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 9.67e-01 - valid loss: 5.99e-01, valid ctc_loss: 5.98e-01, valid PER: 24.21, valid mpd_f1: 3.94e-01
epoch: 35, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 9.36e-01 - valid loss: 5.91e-01, valid ctc_loss: 5.89e-01, valid PER: 23.74, valid mpd_f1: 4.00e-01
epoch: 36, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 9.20e-01 - valid loss: 5.85e-01, valid ctc_loss: 5.84e-01, valid PER: 23.78, valid mpd_f1: 3.92e-01
epoch: 37, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 9.10e-01 - valid loss: 5.83e-01, valid ctc_loss: 5.82e-01, valid PER: 23.19, valid mpd_f1: 4.01e-01
epoch: 38, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 9.10e-01 - valid loss: 5.74e-01, valid ctc_loss: 5.72e-01, valid PER: 23.00, valid mpd_f1: 4.12e-01
epoch: 39, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 8.81e-01 - valid loss: 5.71e-01, valid ctc_loss: 5.69e-01, valid PER: 22.45, valid mpd_f1: 3.96e-01
epoch: 40, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 8.91e-01 - valid loss: 5.67e-01, valid ctc_loss: 5.66e-01, valid PER: 22.96, valid mpd_f1: 4.06e-01
epoch: 41, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 8.81e-01 - valid loss: 5.65e-01, valid ctc_loss: 5.64e-01, valid PER: 22.73, valid mpd_f1: 4.08e-01
epoch: 42, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 8.56e-01 - valid loss: 5.62e-01, valid ctc_loss: 5.61e-01, valid PER: 22.82, valid mpd_f1: 4.01e-01
epoch: 43, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 8.66e-01 - valid loss: 5.66e-01, valid ctc_loss: 5.65e-01, valid PER: 22.29, valid mpd_f1: 4.16e-01
epoch: 44, lr_adam: 3.00e-04, lr_wav2vec: 1.00e-05 - train loss: 8.95e-01 - valid loss: 5.72e-01, valid ctc_loss: 5.70e-01, valid PER: 22.53, valid mpd_f1: 3.86e-01
